layer,cka_en_ru,cka_en_ky,cka_ru_ky
0,0.5530094504356384,0.247695654630661,0.23755678534507751
1,0.8277231454849243,0.708625853061676,0.7279650568962097
2,0.8259119987487793,0.7130957245826721,0.7310826182365417
3,0.825832188129425,0.7130334377288818,0.7309813499450684
4,0.825799286365509,0.7130234837532043,0.730925440788269
5,0.8258064985275269,0.713134765625,0.7310115694999695
6,0.8257914185523987,0.7130023837089539,0.73082435131073
7,0.8257046937942505,0.7129160165786743,0.7307116389274597
8,0.8257300853729248,0.712832510471344,0.7306090593338013
9,0.8257219195365906,0.7126185894012451,0.730429470539093
10,0.8258200883865356,0.7128227353096008,0.7306344509124756
11,0.8259458541870117,0.7128490805625916,0.7307107448577881
12,0.8260549306869507,0.7131381630897522,0.7310490012168884
13,0.8261566758155823,0.7128998637199402,0.7308437824249268
14,0.8261217474937439,0.7127236723899841,0.7305800318717957
15,0.82615727186203,0.7124565839767456,0.7304093241691589
16,0.826233983039856,0.7120188474655151,0.7299895882606506
17,0.8263979554176331,0.7119607925415039,0.7299835085868835
18,0.8264743685722351,0.7114964127540588,0.729558527469635
19,0.8265472650527954,0.7111234068870544,0.7290377020835876
20,0.8266292810440063,0.7107928991317749,0.7286298871040344
21,0.8267102241516113,0.7103020548820496,0.727726936340332
22,0.8269362449645996,0.7094979882240295,0.7271239757537842
23,0.8272333741188049,0.7089555859565735,0.7267476916313171
24,0.8273197412490845,0.7081798911094666,0.7258631587028503
25,0.8279203176498413,0.7072856426239014,0.7247112989425659
26,0.8282722234725952,0.7069116830825806,0.7239907383918762
27,0.828655481338501,0.7051568031311035,0.7218040823936462
28,0.8293337821960449,0.7037351727485657,0.7211878895759583
29,0.8298819065093994,0.7021946907043457,0.71961909532547
30,0.8296021223068237,0.695421040058136,0.7134706974029541
31,0.8301572799682617,0.6962839961051941,0.7136985659599304
32,0.5546837449073792,0.32358869910240173,0.4206545352935791
