lang,layer,acc_mean,acc_std
en,0,0.20337838530540467,0.014396810829099127
en,1,0.3378378450870514,0.018870601546594985
en,2,0.35878379344940187,0.02576443194367199
en,3,0.3756756842136383,0.022853431854551465
en,4,0.46283785104751585,0.025728961164834696
en,5,0.4506756901741028,0.024972593155564413
en,6,0.4324324429035187,0.015108575736537877
en,7,0.45135135650634767,0.015932197319439546
en,8,0.45337839126586915,0.009411073969871495
en,9,0.4601351499557495,0.030992827003053846
en,10,0.4432432472705841,0.02853880144563476
en,11,0.4418919086456299,0.022039878142459956
en,12,0.4391891896724701,0.011102483097292868
en,13,0.4337837934494019,0.015198955324627273
en,14,0.44594596028327943,0.0172264163594536
en,15,0.4364864945411682,0.02940547678201237
en,16,0.46081081628799436,0.015496413501526923
en,17,0.462162172794342,0.017671205502683425
en,18,0.4594594717025757,0.008809736871930986
en,19,0.4628378450870514,0.012996878024055565
en,20,0.46013514399528505,0.012531909416200462
en,21,0.44932433366775515,0.023111663315838804
en,22,0.44932433366775515,0.03411994176284091
en,23,0.4418919086456299,0.03172079659200668
en,24,0.4513513624668121,0.02326915742311423
en,25,0.4513513624668121,0.02469685019278781
en,26,0.46689189672470094,0.02629063661737506
en,27,0.44797298312187195,0.02497259605843312
en,28,0.4722973108291626,0.022953101912892945
en,29,0.45608108639717104,0.020270276069641113
en,30,0.4709459602832794,0.013945790895121444
en,31,0.4702702760696411,0.012162158886592405
en,32,0.4567567706108093,0.020427322542887334
ru,0,0.19527027308940886,0.013066946366825679
ru,1,0.279054057598114,0.02524532783566249
ru,2,0.2885135173797607,0.023464541044324844
ru,3,0.3040540605783463,0.030667043572253895
ru,4,0.38108108639717103,0.028217038361824157
ru,5,0.39594595432281493,0.035200049785367296
ru,6,0.40675677061080934,0.011019938979866377
ru,7,0.45878379344940184,0.02540756163994585
ru,8,0.45675676465034487,0.02245033358164781
ru,9,0.4513513624668121,0.018454726533053786
ru,10,0.4385135293006897,0.018305699866704588
ru,11,0.45540541410446167,0.01779991650827796
ru,12,0.45000000596046447,0.020759856324514037
ru,13,0.4722973108291626,0.021302541417897246
ru,14,0.4736486613750458,0.015017649015645597
ru,15,0.4547297418117523,0.006265961135438164
ru,16,0.4574324429035187,0.0166331569502936
ru,17,0.45202704071998595,0.015613809253495502
ru,18,0.4608108222484589,0.025515145807930774
ru,19,0.4736486613750458,0.01727933773338466
ru,20,0.4641892075538635,0.020560976186527517
ru,21,0.46216216683387756,0.012162158886592405
ru,22,0.4527027130126953,0.016412101489486814
ru,23,0.45608109831809995,0.01934840675788112
ru,24,0.4452702820301056,0.016467641468781317
ru,25,0.45608109831809995,0.03081555914711322
ru,26,0.45337839126586915,0.020427321162804952
ru,27,0.45878379940986636,0.03421348442974625
ru,28,0.4594594776630402,0.03491354176232477
ru,29,0.45472973585128784,0.015198950820055722
ru,30,0.4520270347595215,0.02971437536831431
ru,31,0.4675675809383392,0.028554801364147203
ru,32,0.4418919026851654,0.020978611740833274
ky,0,0.204054057598114,0.01607483594426262
ky,1,0.29256756901741027,0.016074834315772578
ky,2,0.28040541112422945,0.025281471283636742
ky,3,0.2601351380348206,0.016272426544622184
ky,4,0.3128378510475159,0.03137347599109076
ky,5,0.3344594657421112,0.02071583103486059
ky,6,0.33378379344940184,0.019277494202185472
ky,7,0.3398648679256439,0.01717333002759555
ky,8,0.3594594657421112,0.0069565119685236244
ky,9,0.3810810923576355,0.016467647827365612
ky,10,0.38648649454116824,0.01037993213918822
ky,11,0.3851351499557495,0.017226419866284207
ky,12,0.3662162244319916,0.01690540636565435
ky,13,0.3885135233402252,0.024548524720413047
ky,14,0.36351352334022524,0.01845473460749364
ky,15,0.36891892552375793,0.018429977829392874
ky,16,0.3972972989082336,0.008164222785549622
ky,17,0.3939189314842224,0.017305739710474752
ky,18,0.36756757497787473,0.009165317628575143
ky,19,0.3898648679256439,0.017953148612077353
ky,20,0.3628378450870514,0.017437143501940495
ky,21,0.3756756901741028,0.018553423349183525
ky,22,0.3662162184715271,0.014108518467276135
ky,23,0.35202703475952146,0.007214235529168727
ky,24,0.356081086397171,0.013101839479574143
ky,25,0.3648648738861084,0.014011110731617033
ky,26,0.3601351499557495,0.020891383446410908
ky,27,0.37500000596046446,0.020382578417795564
ky,28,0.37094594836235045,0.028698319231422503
ky,29,0.36959460377693176,0.021430751889367095
ky,30,0.36418919563293456,0.03039790534975446
ky,31,0.379054057598114,0.024399279919731703
ky,32,0.36756757497787473,0.01501764231129575
