lang,layer,acc_mean,acc_std
en,0,0.5986486554145813,0.03883812114283226
en,1,0.5770270347595214,0.033743221334805056
en,2,0.5337838053703308,0.02802222290042987
en,3,0.5250000059604645,0.032935288684740965
en,4,0.5202702760696412,0.01899117934537914
en,5,0.5256756842136383,0.023464537954899195
en,6,0.558108139038086,0.017927700768059173
en,7,0.5574324488639831,0.011102483097308867
en,8,0.5324324488639831,0.01833062207480573
en,9,0.4918919146060944,0.02132396534533639
en,10,0.5195946097373962,0.03278245470534074
en,11,0.5067567706108094,0.017748547654425153
en,12,0.5168919086456298,0.005653108479945999
en,13,0.5135135293006897,0.02826554168727405
en,14,0.4810810923576355,0.023269157596189714
en,15,0.4641891956329346,0.021537000547369747
en,16,0.4479729890823364,0.017697026735300596
en,17,0.4108108222484589,0.019768558492971273
en,18,0.3831081211566925,0.022672918230199332
en,19,0.37635135650634766,0.04271210867737892
en,20,0.3918918967247009,0.02660137647970206
en,21,0.4094594717025757,0.02697630364871086
en,22,0.4290540635585785,0.036822777237235906
en,23,0.4364864945411682,0.021087145720311347
en,24,0.37500000596046446,0.009555499776914804
en,25,0.39797297716140745,0.033743215247819196
en,26,0.40743244290351865,0.014269397194867051
en,27,0.4202702820301056,0.03585540333326398
en,28,0.4047297418117523,0.03715602301517749
en,29,0.4114865005016327,0.031720802178342396
en,30,0.43040541410446165,0.04931044075756423
en,31,0.47162163257598877,0.019301156426178787
en,32,0.47297298312187197,0.02168487191521957
en,33,0.48851352334022524,0.019182536212435264
en,34,0.4756756842136383,0.024862666743644762
en,35,0.46283785104751585,0.038990643368253315
en,36,0.4756756842136383,0.03179267529581818
en,37,0.48783785104751587,0.024230297274829792
en,38,0.4777027189731598,0.01965275962921043
en,39,0.47567569017410277,0.01660568564410086
en,40,0.4810810923576355,0.019063155929906206
en,41,0.4790540635585785,0.024116984339365714
en,42,0.4918919146060944,0.015048021824045158
ru,0,0.45067567825317384,0.040461631111275716
ru,1,0.450000011920929,0.03428015154128763
ru,2,0.4364864945411682,0.02540756560268513
ru,3,0.43783784508705137,0.03056266127031221
ru,4,0.4716216385364532,0.023072124164749873
ru,5,0.4824324369430542,0.02558660662615182
ru,6,0.5189189374446869,0.03223476185110694
ru,7,0.5067567706108094,0.021473306410910994
ru,8,0.48716217279434204,0.030845168291791354
ru,9,0.4614865005016327,0.041021918617689675
ru,10,0.4668919086456299,0.03584267519839637
ru,11,0.4668919026851654,0.0463909312211231
ru,12,0.46756757497787477,0.037168301943876714
ru,13,0.4655405580997467,0.028054785324341244
ru,14,0.4412162244319916,0.02375458853500524
ru,15,0.4148648738861084,0.030020077529858424
ru,16,0.40067567825317385,0.015643018924150334
ru,17,0.36824325323104856,0.014011107857225053
ru,18,0.3344594597816467,0.012996879573402518
ru,19,0.3236486554145813,0.019860723106322305
ru,20,0.3452702760696411,0.013747968826395875
ru,21,0.3614864945411682,0.02407909820954813
ru,22,0.38445947170257566,0.020315266747801396
ru,23,0.38648649454116824,0.02749592842515497
ru,24,0.33175676465034487,0.016742581328032524
ru,25,0.3391891956329346,0.03698360676452614
ru,26,0.34459460377693174,0.029061910378846187
ru,27,0.333108115196228,0.030487881615452548
ru,28,0.3574324309825897,0.022853425158006844
ru,29,0.36351351737976073,0.0338243047531897
ru,30,0.36418919563293456,0.02697630260366822
ru,31,0.39121622443199155,0.03017177351777913
ru,32,0.39662163257598876,0.0334169260813337
ru,33,0.4033783972263336,0.023269156384655196
ru,34,0.40337838530540465,0.01976856480843053
ru,35,0.39932432770729065,0.02540755720167824
ru,36,0.40337838530540465,0.021642719241132525
ru,37,0.41013514399528506,0.04545645494292135
ru,38,0.408108115196228,0.024492656353215306
ru,39,0.39256757497787476,0.027562268308447282
ru,40,0.38648649454116824,0.02143075320483126
ru,41,0.40067569017410276,0.021956865807823342
ru,42,0.38378379344940183,0.03230549552282144
ky,0,0.4412162244319916,0.028071051367358553
ky,1,0.41824325919151306,0.019395541981318494
ky,2,0.42635135650634765,0.017671212567709108
ky,3,0.4189189374446869,0.01150634403108878
ky,4,0.44121623039245605,0.023269154653892572
ky,5,0.4445946037769318,0.010597559023089943
ky,6,0.4412162244319916,0.013274920721612436
ky,7,0.4432432472705841,0.017671210516574793
ky,8,0.406081086397171,0.016188042865178963
ky,9,0.4047297418117523,0.004965187062735039
ky,10,0.4202702820301056,0.017173324868346013
ky,11,0.3858108162879944,0.00988428647870637
ky,12,0.3668919026851654,0.017173335421355716
ky,13,0.35,0.027077654760551878
ky,14,0.3493243336677551,0.022672920539361752
ky,15,0.32635135650634767,0.016905395168934752
ky,16,0.33175675868988036,0.027060789070684634
ky,17,0.31554054617881777,0.02356161297753705
ky,18,0.2891891896724701,0.010157629805544644
ky,19,0.3060810923576355,0.02078183622344326
ky,20,0.32162163257598875,0.012348423058005245
ky,21,0.32635135650634767,0.02247066769106278
ky,22,0.3594594657421112,0.027077660114940144
ky,23,0.35135135650634763,0.01682419537439497
ky,24,0.32635135650634767,0.012568298444421996
ky,25,0.3128378391265869,0.022060582737953867
ky,26,0.31486486792564394,0.02193605487282948
ky,27,0.325000011920929,0.012348423710291954
ky,28,0.3236486554145813,0.009884281589318639
ky,29,0.34729730486869814,0.02245033142898049
ky,30,0.3391891956329346,0.018454732206985333
ky,31,0.38040541410446166,0.02980641520426459
ky,32,0.37432433366775514,0.017927698521625696
ky,33,0.38851351737976075,0.01024712876600842
ky,34,0.3918919026851654,0.023111665058395476
ky,35,0.4114864945411682,0.0172793451917072
ky,36,0.35675676465034484,0.015788271486038657
ky,37,0.36081082224845884,0.022039874670592954
ky,38,0.35810811519622804,0.014956720518713322
ky,39,0.34797298312187197,0.019814709934319226
