lang,layer,acc_mean,acc_std,fold_0,fold_1,fold_2,fold_3,fold_4
en,0,0.4797297477722168,0.01735843409819853,0.4628378450870514,0.4628378450870514,0.48310813307762146,0.4797297418117523,0.5101351737976074
en,1,0.4824324369430542,0.021087136934972786,0.4729729890823364,0.4560810923576355,0.5,0.4695945978164673,0.5135135054588318
en,2,0.4594594657421112,0.026342685476379725,0.4628378450870514,0.41554054617881775,0.4763513505458832,0.4493243396282196,0.4932432472705841
en,3,0.4581081211566925,0.01122516284426876,0.4493243396282196,0.4493243396282196,0.4763513505458832,0.4493243396282196,0.46621623635292053
en,4,0.4668919086456299,0.02295309243807336,0.4425675868988037,0.4493243396282196,0.45945948362350464,0.4763513505458832,0.5067567825317383
en,5,0.48175676465034484,0.01649534145427847,0.4864864945411682,0.4932432472705841,0.4493243396282196,0.4864864945411682,0.4932432472705841
en,6,0.44256758093833926,0.015989402845030736,0.4695945978164673,0.4493243396282196,0.42229729890823364,0.4358108341693878,0.4358108341693878
en,7,0.43175676465034485,0.015759324396633738,0.4189189374446869,0.43918919563293457,0.43918919563293457,0.40878379344940186,0.45270270109176636
en,8,0.42972974181175233,0.010978423732880714,0.44594594836235046,0.4189189374446869,0.4189189374446869,0.43918919563293457,0.4256756901741028
en,9,0.41351352334022523,0.02307211788079117,0.43918919563293457,0.37162163853645325,0.412162184715271,0.41554054617881775,0.42905405163764954
en,10,0.40270271301269533,0.018553424000385878,0.41554054617881775,0.412162184715271,0.4189189374446869,0.3682432472705841,0.3986486494541168
en,11,0.39391892552375796,0.01857800955657099,0.4054054021835327,0.3614864945411682,0.412162184715271,0.4054054021835327,0.38513514399528503
en,12,0.36891892552375793,0.013913017568797688,0.37162163853645325,0.37162163853645325,0.3918918967247009,0.3513513505458832,0.3581081032752991
ru,0,0.36959460377693176,0.009214981266455837,0.36486488580703735,0.37162163853645325,0.3817567527294159,0.3547297418117523,0.375
ru,1,0.36756757497787473,0.01818058169378518,0.33445945382118225,0.37837839126586914,0.3885135352611542,0.3682432472705841,0.3682432472705841
ru,2,0.3743243277072906,0.024399286357065272,0.3614864945411682,0.3885135352611542,0.4054054021835327,0.33445945382118225,0.3817567527294159
ru,3,0.3682432472705841,0.020494263427329965,0.39527028799057007,0.3614864945411682,0.3682432472705841,0.33445945382118225,0.3817567527294159
ru,4,0.36351352334022524,0.025515146123612956,0.375,0.3445945978164673,0.39527028799057007,0.3243243396282196,0.37837839126586914
ru,5,0.35810811519622804,0.023888748599342216,0.36486488580703735,0.37162163853645325,0.3682432472705841,0.31081080436706543,0.375
ru,6,0.3297297298908234,0.03925903141416114,0.3614864945411682,0.2871621549129486,0.32770270109176636,0.2871621549129486,0.38513514399528503
ru,7,0.33513513803482053,0.02629064213204717,0.32770270109176636,0.29729729890823364,0.3513513505458832,0.3243243396282196,0.375
ru,8,0.3202702760696411,0.01118442595462117,0.30405405163764954,0.3243243396282196,0.32094594836235046,0.31418919563293457,0.3378378450870514
ru,9,0.3277027130126953,0.011102486724716861,0.32770270109176636,0.3243243396282196,0.31418919563293457,0.3243243396282196,0.3479729890823364
ru,10,0.32972973585128784,0.010379929423236872,0.32094594836235046,0.32094594836235046,0.3243243396282196,0.33445945382118225,0.3479729890823364
ru,11,0.3263513624668121,0.026567030593119177,0.2939189374446869,0.3445945978164673,0.32770270109176636,0.3006756901741028,0.36486488580703735
ru,12,0.32500000596046447,0.012712766752093414,0.3479729890823364,0.3175675868988037,0.31081080436706543,0.32770270109176636,0.32094594836235046
ky,0,0.3918919026851654,0.02454851323646545,0.43918919563293457,0.3918918967247009,0.37837839126586914,0.37162163853645325,0.37837839126586914
ky,1,0.3844594657421112,0.016878375316048067,0.3918918967247009,0.3918918967247009,0.3513513505458832,0.3986486494541168,0.3885135352611542
ky,2,0.38783785700798035,0.01501764338399098,0.412162184715271,0.3885135352611542,0.36486488580703735,0.3885135352611542,0.38513514399528503
ky,3,0.4020270347595215,0.014333249665369108,0.40202704071998596,0.42229729890823364,0.3817567527294159,0.3918918967247009,0.412162184715271
ky,4,0.3858108162879944,0.016467644892633377,0.375,0.3918918967247009,0.375,0.37162163853645325,0.41554054617881775
ky,5,0.38310810923576355,0.027077653719420815,0.3817567527294159,0.3918918967247009,0.3378378450870514,0.3817567527294159,0.42229729890823364
ky,6,0.3581081211566925,0.025461407067183937,0.3682432472705841,0.34121623635292053,0.3175675868988037,0.375,0.3885135352611542
ky,7,0.3614864945411682,0.019230062720391246,0.3243243396282196,0.375,0.3614864945411682,0.375,0.37162163853645325
ky,8,0.3344594657421112,0.0216848821298839,0.36486488580703735,0.31081080436706543,0.31418919563293457,0.3547297418117523,0.32770270109176636
ky,9,0.3263513624668121,0.01142671592727573,0.3378378450870514,0.3243243396282196,0.34121623635292053,0.31418919563293457,0.31418919563293457
ky,10,0.32500000596046447,0.012348419144301527,0.3310810923576355,0.3006756901741028,0.33445945382118225,0.32770270109176636,0.3310810923576355
ky,11,0.3324324369430542,0.028313954243166625,0.32094594836235046,0.29729729890823364,0.34121623635292053,0.32094594836235046,0.3817567527294159
ky,12,0.3256756842136383,0.04260508085072152,0.375,0.27027028799057007,0.2939189374446869,0.31418919563293457,0.375
