model,lang,pair,rate
Llama-3.1-8B,KY,fear-joy,0.086
Llama-3.1-8B,KY,fear-sadness,0.104
Llama-3.1-8B,KY,fear-surprise,0.078
Llama-3.1-8B,KY,joy-sadness,0.078
Llama-3.1-8B,KY,joy-surprise,0.112
Llama-3.1-8B,KY,sadness-surprise,0.13
Mistral-7B,EN,anger-disgust,0.1688
Mistral-7B,EN,anger-fear,0.0583
Mistral-7B,EN,anger-joy,0.0396
Mistral-7B,EN,anger-sadness,0.1229
Mistral-7B,EN,anger-surprise,0.1396
Mistral-7B,EN,disgust-fear,0.096
Mistral-7B,EN,disgust-joy,0.028
Mistral-7B,EN,disgust-sadness,0.09
Mistral-7B,EN,disgust-surprise,0.056
Mistral-7B,EN,fear-joy,0.022
Mistral-7B,EN,fear-sadness,0.062
Mistral-7B,EN,fear-surprise,0.06
Mistral-7B,EN,joy-sadness,0.046
Mistral-7B,EN,joy-surprise,0.094
Mistral-7B,EN,sadness-surprise,0.09
Mistral-7B,RU,anger-disgust,0.1604
Mistral-7B,RU,anger-fear,0.0729
Mistral-7B,RU,anger-joy,0.0438
Mistral-7B,RU,anger-sadness,0.15
Mistral-7B,RU,anger-surprise,0.15
Mistral-7B,RU,disgust-fear,0.124
Mistral-7B,RU,disgust-joy,0.042
Mistral-7B,RU,disgust-sadness,0.088
Mistral-7B,RU,disgust-surprise,0.064
Mistral-7B,RU,fear-joy,0.038
Mistral-7B,RU,fear-sadness,0.068
Mistral-7B,RU,fear-surprise,0.062
Mistral-7B,RU,joy-sadness,0.05
Mistral-7B,RU,joy-surprise,0.086
Mistral-7B,RU,sadness-surprise,0.098
Mistral-7B,KY,anger-disgust,0.1417
Mistral-7B,KY,anger-fear,0.0875
Mistral-7B,KY,anger-joy,0.0854
Mistral-7B,KY,anger-sadness,0.1604
Mistral-7B,KY,anger-surprise,0.1792
Mistral-7B,KY,disgust-fear,0.156
Mistral-7B,KY,disgust-joy,0.066
Mistral-7B,KY,disgust-sadness,0.102
Mistral-7B,KY,disgust-surprise,0.088
Mistral-7B,KY,fear-joy,0.052
Mistral-7B,KY,fear-sadness,0.078
Mistral-7B,KY,fear-surprise,0.098
Mistral-7B,KY,joy-sadness,0.114
Mistral-7B,KY,joy-surprise,0.098
Mistral-7B,KY,sadness-surprise,0.146
XLM-R,EN,anger-disgust,0.1771
XLM-R,EN,anger-fear,0.0708
XLM-R,EN,anger-joy,0.0583
XLM-R,EN,anger-sadness,0.1521
XLM-R,EN,anger-surprise,0.1396
XLM-R,EN,disgust-fear,0.092
XLM-R,EN,disgust-joy,0.04
XLM-R,EN,disgust-sadness,0.09
