model,lang,layer,true,pred,count,row_share
XLM-R,KY,14,fear,sadness,28,0.112
XLM-R,KY,14,fear,surprise,13,0.052
XLM-R,KY,14,joy,anger,17,0.068
XLM-R,KY,14,joy,disgust,20,0.08
XLM-R,KY,14,joy,fear,10,0.04
XLM-R,KY,14,joy,joy,153,0.612
XLM-R,KY,14,joy,sadness,19,0.076
XLM-R,KY,14,joy,surprise,31,0.124
XLM-R,KY,14,sadness,anger,35,0.14
XLM-R,KY,14,sadness,disgust,28,0.112
XLM-R,KY,14,sadness,fear,21,0.084
XLM-R,KY,14,sadness,joy,23,0.092
XLM-R,KY,14,sadness,sadness,113,0.452
XLM-R,KY,14,sadness,surprise,30,0.12
XLM-R,KY,14,surprise,anger,39,0.156
XLM-R,KY,14,surprise,disgust,21,0.084
XLM-R,KY,14,surprise,fear,25,0.1
XLM-R,KY,14,surprise,joy,33,0.132
XLM-R,KY,14,surprise,sadness,29,0.116
XLM-R,KY,14,surprise,surprise,103,0.412
