model,layer,pair,procrustes_sim
Gemma 4 E4B,38,RU–KY,0.7655
Gemma 4 E4B,39,EN–RU,0.7957
Gemma 4 E4B,39,EN–KY,0.7633
Gemma 4 E4B,39,RU–KY,0.7694
Gemma 4 E4B,40,EN–RU,0.801
Gemma 4 E4B,40,EN–KY,0.7677
Gemma 4 E4B,40,RU–KY,0.7748
Gemma 4 E4B,41,EN–RU,0.7898
Gemma 4 E4B,41,EN–KY,0.7546
Gemma 4 E4B,41,RU–KY,0.7632
Gemma 4 E4B,42,EN–RU,0.7898
Gemma 4 E4B,42,EN–KY,0.7527
Gemma 4 E4B,42,RU–KY,0.758
Qwen3-8B,0,EN–RU,0.8028
Qwen3-8B,0,EN–KY,0.6754
Qwen3-8B,0,RU–KY,0.6655
Qwen3-8B,1,EN–RU,0.7995
Qwen3-8B,1,EN–KY,0.695
Qwen3-8B,1,RU–KY,0.6752
Qwen3-8B,2,EN–RU,0.7888
Qwen3-8B,2,EN–KY,0.6904
Qwen3-8B,2,RU–KY,0.6991
Qwen3-8B,3,EN–RU,0.7717
Qwen3-8B,3,EN–KY,0.6862
Qwen3-8B,3,RU–KY,0.7116
Qwen3-8B,4,EN–RU,0.7965
Qwen3-8B,4,EN–KY,0.7087
Qwen3-8B,4,RU–KY,0.725
Qwen3-8B,5,EN–RU,0.8159
Qwen3-8B,5,EN–KY,0.7283
Qwen3-8B,5,RU–KY,0.7309
Qwen3-8B,6,EN–RU,0.8369
Qwen3-8B,6,EN–KY,0.7461
Qwen3-8B,6,RU–KY,0.7464
Qwen3-8B,7,EN–RU,0.8576
Qwen3-8B,7,EN–KY,0.8599
Qwen3-8B,7,RU–KY,0.8638
Qwen3-8B,8,EN–RU,0.8575
Qwen3-8B,8,EN–KY,0.8598
Qwen3-8B,8,RU–KY,0.8637
Qwen3-8B,9,EN–RU,0.8575
Qwen3-8B,9,EN–KY,0.8598
Qwen3-8B,9,RU–KY,0.8637
Qwen3-8B,10,EN–RU,0.8576
Qwen3-8B,10,EN–KY,0.8598
Qwen3-8B,10,RU–KY,0.8637
Qwen3-8B,11,EN–RU,0.8576
Qwen3-8B,11,EN–KY,0.8598
Qwen3-8B,11,RU–KY,0.8637
Qwen3-8B,12,EN–RU,0.8576
Qwen3-8B,12,EN–KY,0.8598
Qwen3-8B,12,RU–KY,0.8637
Qwen3-8B,13,EN–RU,0.8574
Qwen3-8B,13,EN–KY,0.8597
Qwen3-8B,13,RU–KY,0.8636
Qwen3-8B,14,EN–RU,0.8574
Qwen3-8B,14,EN–KY,0.8597
Qwen3-8B,14,RU–KY,0.8636
Qwen3-8B,15,EN–RU,0.8572
Qwen3-8B,15,EN–KY,0.8596
Qwen3-8B,15,RU–KY,0.8635
Qwen3-8B,16,EN–RU,0.8574
Qwen3-8B,16,EN–KY,0.8597
Qwen3-8B,16,RU–KY,0.8636
Qwen3-8B,17,EN–RU,0.8593
Qwen3-8B,17,EN–KY,0.8616
Qwen3-8B,17,RU–KY,0.8645
Qwen3-8B,18,EN–RU,0.8593
Qwen3-8B,18,EN–KY,0.8616
Qwen3-8B,18,RU–KY,0.8644
Qwen3-8B,19,EN–RU,0.8598
Qwen3-8B,19,EN–KY,0.8618
Qwen3-8B,19,RU–KY,0.8646
Qwen3-8B,20,EN–RU,0.8596
Qwen3-8B,20,EN–KY,0.8616
Qwen3-8B,20,RU–KY,0.8643
Qwen3-8B,21,EN–RU,0.8596
Qwen3-8B,21,EN–KY,0.8615
Qwen3-8B,21,RU–KY,0.8643
Qwen3-8B,22,EN–RU,0.8597
Qwen3-8B,22,EN–KY,0.8615
Qwen3-8B,22,RU–KY,0.8643
Qwen3-8B,23,EN–RU,0.8594
Qwen3-8B,23,EN–KY,0.8612
Qwen3-8B,23,RU–KY,0.864
Qwen3-8B,24,EN–RU,0.859
Qwen3-8B,24,EN–KY,0.8604
Qwen3-8B,24,RU–KY,0.8634
Qwen3-8B,25,EN–RU,0.8578
Qwen3-8B,25,EN–KY,0.8586
Qwen3-8B,25,RU–KY,0.8615
Qwen3-8B,26,EN–RU,0.8574
Qwen3-8B,26,EN–KY,0.8571
Qwen3-8B,26,RU–KY,0.8601
Qwen3-8B,27,EN–RU,0.8567
Qwen3-8B,27,EN–KY,0.8551
Qwen3-8B,27,RU–KY,0.858
