model,layer,pair,rsa_rho
Gemma 4 E4B,38,RU–KY,0.6142
Gemma 4 E4B,39,EN–RU,0.6824
Gemma 4 E4B,39,EN–KY,0.6194
Gemma 4 E4B,39,RU–KY,0.6218
Gemma 4 E4B,40,EN–RU,0.6883
Gemma 4 E4B,40,EN–KY,0.6259
Gemma 4 E4B,40,RU–KY,0.6249
Gemma 4 E4B,41,EN–RU,0.7106
Gemma 4 E4B,41,EN–KY,0.6511
Gemma 4 E4B,41,RU–KY,0.6619
Gemma 4 E4B,42,EN–RU,0.7223
Gemma 4 E4B,42,EN–KY,0.6277
Gemma 4 E4B,42,RU–KY,0.6966
Qwen3-8B,0,EN–RU,0.7439
Qwen3-8B,0,EN–KY,0.7009
Qwen3-8B,0,RU–KY,0.7145
Qwen3-8B,1,EN–RU,0.7905
Qwen3-8B,1,EN–KY,0.6995
Qwen3-8B,1,RU–KY,0.7341
Qwen3-8B,2,EN–RU,0.6702
Qwen3-8B,2,EN–KY,0.5979
Qwen3-8B,2,RU–KY,0.6929
Qwen3-8B,3,EN–RU,0.5953
Qwen3-8B,3,EN–KY,0.5259
Qwen3-8B,3,RU–KY,0.6431
Qwen3-8B,4,EN–RU,0.6109
Qwen3-8B,4,EN–KY,0.5531
Qwen3-8B,4,RU–KY,0.6522
Qwen3-8B,5,EN–RU,0.682
Qwen3-8B,5,EN–KY,0.607
Qwen3-8B,5,RU–KY,0.6926
Qwen3-8B,6,EN–RU,0.7978
Qwen3-8B,6,EN–KY,0.7158
Qwen3-8B,6,RU–KY,0.7653
Qwen3-8B,7,EN–RU,0.7161
Qwen3-8B,7,EN–KY,0.716
Qwen3-8B,7,RU–KY,0.7683
Qwen3-8B,8,EN–RU,0.7298
Qwen3-8B,8,EN–KY,0.7184
Qwen3-8B,8,RU–KY,0.7643
Qwen3-8B,9,EN–RU,0.7368
Qwen3-8B,9,EN–KY,0.698
Qwen3-8B,9,RU–KY,0.7447
Qwen3-8B,10,EN–RU,0.7383
Qwen3-8B,10,EN–KY,0.6792
Qwen3-8B,10,RU–KY,0.7323
Qwen3-8B,11,EN–RU,0.7398
Qwen3-8B,11,EN–KY,0.6723
Qwen3-8B,11,RU–KY,0.7317
Qwen3-8B,12,EN–RU,0.7427
Qwen3-8B,12,EN–KY,0.6703
Qwen3-8B,12,RU–KY,0.7313
Qwen3-8B,13,EN–RU,0.7455
Qwen3-8B,13,EN–KY,0.6757
Qwen3-8B,13,RU–KY,0.7385
Qwen3-8B,14,EN–RU,0.7491
Qwen3-8B,14,EN–KY,0.6727
Qwen3-8B,14,RU–KY,0.7368
Qwen3-8B,15,EN–RU,0.746
Qwen3-8B,15,EN–KY,0.6705
Qwen3-8B,15,RU–KY,0.7364
Qwen3-8B,16,EN–RU,0.7431
Qwen3-8B,16,EN–KY,0.6681
Qwen3-8B,16,RU–KY,0.736
Qwen3-8B,17,EN–RU,0.7562
Qwen3-8B,17,EN–KY,0.6812
Qwen3-8B,17,RU–KY,0.7398
Qwen3-8B,18,EN–RU,0.7586
Qwen3-8B,18,EN–KY,0.6787
Qwen3-8B,18,RU–KY,0.7404
Qwen3-8B,19,EN–RU,0.7531
Qwen3-8B,19,EN–KY,0.6793
Qwen3-8B,19,RU–KY,0.7443
Qwen3-8B,20,EN–RU,0.7547
Qwen3-8B,20,EN–KY,0.6839
Qwen3-8B,20,RU–KY,0.7494
Qwen3-8B,21,EN–RU,0.7547
Qwen3-8B,21,EN–KY,0.6772
Qwen3-8B,21,RU–KY,0.7445
Qwen3-8B,22,EN–RU,0.7487
Qwen3-8B,22,EN–KY,0.6734
Qwen3-8B,22,RU–KY,0.7421
Qwen3-8B,23,EN–RU,0.7548
Qwen3-8B,23,EN–KY,0.6675
Qwen3-8B,23,RU–KY,0.737
Qwen3-8B,24,EN–RU,0.7533
Qwen3-8B,24,EN–KY,0.6443
Qwen3-8B,24,RU–KY,0.7147
Qwen3-8B,25,EN–RU,0.7553
Qwen3-8B,25,EN–KY,0.6378
Qwen3-8B,25,RU–KY,0.7127
Qwen3-8B,26,EN–RU,0.7553
Qwen3-8B,26,EN–KY,0.5956
Qwen3-8B,26,RU–KY,0.6721
Qwen3-8B,27,EN–RU,0.7555
Qwen3-8B,27,EN–KY,0.5961
Qwen3-8B,27,RU–KY,0.6667
Qwen3-8B,28,EN–RU,0.7596
Qwen3-8B,28,EN–KY,0.5909
Qwen3-8B,28,RU–KY,0.661
Qwen3-8B,29,EN–RU,0.7639
Qwen3-8B,29,EN–KY,0.5803
Qwen3-8B,29,RU–KY,0.6272
Qwen3-8B,30,EN–RU,0.763
Qwen3-8B,30,EN–KY,0.58
Qwen3-8B,30,RU–KY,0.6237
Qwen3-8B,31,EN–RU,0.7606
Qwen3-8B,31,EN–KY,0.5943
Qwen3-8B,31,RU–KY,0.6541
Qwen3-8B,32,EN–RU,0.7568
Qwen3-8B,32,EN–KY,0.5762
Qwen3-8B,32,RU–KY,0.6329
Qwen3-8B,33,EN–RU,0.7504
Qwen3-8B,33,EN–KY,0.5704
Qwen3-8B,33,RU–KY,0.6238
Qwen3-8B,34,EN–RU,0.7484
Qwen3-8B,34,EN–KY,0.5823
Qwen3-8B,34,RU–KY,0.6314
Qwen3-8B,35,EN–RU,0.7509
Qwen3-8B,35,EN–KY,0.5891
Qwen3-8B,35,RU–KY,0.6594
Qwen3-8B,36,EN–RU,0.584
Qwen3-8B,36,EN–KY,0.4571
Qwen3-8B,36,RU–KY,0.6457
Mistral-7B,0,EN–RU,0.7468
Mistral-7B,0,EN–KY,0.6757
