lang,nf4_layer,nf4_acc,fp16_layer,fp16_acc,diff,same_regime
EN,0,0.593,0,0.599,0.006,early
RU,6,0.503,6,0.519,0.016,early
KY,4,0.459,5,0.445,-0.015,early
