lang,layer,acc_mean,acc_std,fold_0,fold_1,fold_2,fold_3,fold_4
en,0,0.5925675868988037,0.033142567369240865,0.5979729890823364,0.5540540814399719,0.5979729890823364,0.5641891956329346,0.6486486792564392
en,1,0.5783783912658691,0.03084515889101528,0.5506756901741028,0.5641891956329346,0.5675675868988037,0.5709459781646729,0.6385135054588318
en,2,0.529054069519043,0.027743881585762794,0.5405405759811401,0.5168918967247009,0.4864864945411682,0.5304054021835327,0.5709459781646729
en,3,0.5202702760696412,0.02937440921073385,0.537162184715271,0.4864864945411682,0.4864864945411682,0.5304054021835327,0.5608108043670654
en,4,0.5195946037769318,0.023151137722599878,0.5202702879905701,0.5337837934494019,0.4763513505458832,0.5236486792564392,0.5439189076423645
en,5,0.5310810923576355,0.024305554533738744,0.5472972989082336,0.5472972989082336,0.5,0.5033783912658691,0.5574324727058411
en,6,0.5608108162879943,0.02581751436857769,0.5743243098258972,0.5912162065505981,0.5236486792564392,0.537162184715271,0.5777027010917664
en,7,0.5520270466804504,0.01988371437163152,0.5574324727058411,0.5878378748893738,0.5304054021835327,0.5405405759811401,0.5439189076423645
en,8,0.5283783972263336,0.018700477700086864,0.5337837934494019,0.5540540814399719,0.5236486792564392,0.49662163853645325,0.5337837934494019
en,9,0.47905406951904295,0.01754156135621395,0.49662163853645325,0.49662163853645325,0.4729729890823364,0.4493243396282196,0.4797297418117523
en,10,0.4959459662437439,0.03243243396282401,0.5,0.5405405759811401,0.5202702879905701,0.45945948362350464,0.45945948362350464
en,11,0.5054054319858551,0.015643035401134466,0.5067567825317383,0.5101351737976074,0.5236486792564392,0.4763513505458832,0.5101351737976074
en,12,0.503378403186798,0.014648307352022705,0.5067567825317383,0.5236486792564392,0.5101351737976074,0.49662163853645325,0.4797297418117523
en,13,0.4918918967247009,0.025335573563489405,0.5135135054588318,0.5270270109176636,0.46621623635292053,0.4628378450870514,0.48986488580703735
en,14,0.47837839722633363,0.025604459424532534,0.5236486792564392,0.48986488580703735,0.4628378450870514,0.45945948362350464,0.4560810923576355
en,15,0.44121623039245605,0.017039889822531844,0.45270270109176636,0.4493243396282196,0.45945948362350464,0.412162184715271,0.4324324429035187
en,16,0.4310810923576355,0.006265961135438164,0.4324324429035187,0.4256756901741028,0.4256756901741028,0.4425675868988037,0.42905405163764954
en,17,0.4067567646503448,0.023170848316929105,0.44594594836235046,0.375,0.40878379344940186,0.40878379344940186,0.39527028799057007
en,18,0.3810810923576355,0.01674258060639748,0.3614864945411682,0.40202704071998596,0.3986486494541168,0.37837839126586914,0.36486488580703735
en,19,0.3668918967247009,0.02724574040949185,0.39527028799057007,0.3817567527294159,0.38513514399528503,0.32094594836235046,0.3513513505458832
en,20,0.3918918967247009,0.02555091514916939,0.3817567527294159,0.4358108341693878,0.3986486494541168,0.3581081032752991,0.38513514399528503
en,21,0.4114864945411682,0.023249529480991075,0.3817567527294159,0.4425675868988037,0.42905405163764954,0.3885135352611542,0.41554054617881775
en,22,0.44662163853645326,0.041288165100627425,0.44594594836235046,0.4358108341693878,0.5101351737976074,0.3817567527294159,0.45945948362350464
en,23,0.4243243396282196,0.02404114517225602,0.412162184715271,0.39527028799057007,0.46621623635292053,0.41554054617881775,0.4324324429035187
en,24,0.38513514399528503,0.023503416454283114,0.3918918967247009,0.3547297418117523,0.4256756901741028,0.375,0.37837839126586914
en,25,0.39662163257598876,0.022873397406463065,0.412162184715271,0.3682432472705841,0.4324324429035187,0.3885135352611542,0.3817567527294159
en,26,0.4283783853054047,0.019975338801186317,0.45945948362350464,0.4054054021835327,0.42905405163764954,0.40878379344940186,0.43918919563293457
en,27,0.4148648738861084,0.024399282230569218,0.4256756901741028,0.4189189374446869,0.45270270109176636,0.38513514399528503,0.3918918967247009
en,28,0.41013514399528506,0.018700473823599212,0.41554054617881775,0.4324324429035187,0.42229729890823364,0.37837839126586914,0.40202704071998596
en,29,0.41216217279434203,0.021043801137908092,0.4189189374446869,0.3986486494541168,0.4493243396282196,0.3885135352611542,0.4054054021835327
en,30,0.41554054617881775,0.028426607097896902,0.41554054617881775,0.3986486494541168,0.42905405163764954,0.375,0.45945948362350464
en,31,0.4472973048686981,0.018943029484753873,0.43918919563293457,0.44594594836235046,0.4763513505458832,0.4189189374446869,0.4560810923576355
en,32,0.4601351499557495,0.02495430638700581,0.4324324429035187,0.4864864945411682,0.48986488580703735,0.4324324429035187,0.45945948362350464
en,33,0.4743243396282196,0.03144615705307048,0.4932432472705841,0.5067567825317383,0.48310813307762146,0.41554054617881775,0.4729729890823364
en,34,0.4682432532310486,0.03130063877111183,0.4560810923576355,0.5,0.5067567825317383,0.42229729890823364,0.4560810923576355
en,35,0.44932433366775515,0.026772453268573915,0.4560810923576355,0.4797297418117523,0.4729729890823364,0.40878379344940186,0.42905405163764954
en,36,0.4783783912658691,0.017697022183870526,0.4932432472705841,0.45945948362350464,0.48310813307762146,0.4560810923576355,0.5
en,37,0.4635135233402252,0.020202599001671658,0.4729729890823364,0.45270270109176636,0.4797297418117523,0.42905405163764954,0.48310813307762146
en,38,0.4641892075538635,0.027743879408339712,0.4493243396282196,0.46621623635292053,0.4695945978164673,0.4256756901741028,0.5101351737976074
en,39,0.4655405580997467,0.0246783507755153,0.46621623635292053,0.4425675868988037,0.4797297418117523,0.4358108341693878,0.5033783912658691
en,40,0.4858108162879944,0.02714501169208369,0.48986488580703735,0.4932432472705841,0.4628378450870514,0.45270270109176636,0.5304054021835327
en,41,0.45878379344940184,0.016188036396769356,0.4628378450870514,0.4729729890823364,0.4493243396282196,0.4324324429035187,0.4763513505458832
en,42,0.4851351499557495,0.022470659625866207,0.4864864945411682,0.5,0.48986488580703735,0.4425675868988037,0.5067567825317383
ru,0,0.46013514399528505,0.03545849396912587,0.42229729890823364,0.4729729890823364,0.46621623635292053,0.42229729890823364,0.5168918967247009
ru,1,0.44594596028327943,0.029061909685954856,0.4256756901741028,0.4493243396282196,0.4797297418117523,0.40202704071998596,0.4729729890823364
ru,2,0.43783784508705137,0.024789104616694677,0.4560810923576355,0.3918918967247009,0.43918919563293457,0.43918919563293457,0.4628378450870514
ru,3,0.44121623039245605,0.024135914697592766,0.4493243396282196,0.4324324429035187,0.46621623635292053,0.3986486494541168,0.45945948362350464
ru,4,0.4682432532310486,0.023754590399940708,0.5,0.43918919563293457,0.46621623635292053,0.44594594836235046,0.48986488580703735
ru,5,0.47567569017410277,0.02495431058311113,0.5236486792564392,0.4560810923576355,0.4628378450870514,0.45945948362350464,0.4763513505458832
ru,6,0.5033783912658691,0.027611916289733893,0.5405405759811401,0.49662163853645325,0.5270270109176636,0.4628378450870514,0.48986488580703735
ru,7,0.5006756842136383,0.026116415575255816,0.5168918967247009,0.5033783912658691,0.5337837934494019,0.4560810923576355,0.4932432472705841
ru,8,0.49932433366775514,0.01341178293411131,0.5,0.5067567825317383,0.5168918967247009,0.4763513505458832,0.49662163853645325
ru,9,0.46621623635292053,0.02625589897370168,0.45945948362350464,0.4797297418117523,0.5101351737976074,0.43918919563293457,0.4425675868988037
ru,10,0.46418920159339905,0.03258691070790111,0.49662163853645325,0.48310813307762146,0.4864864945411682,0.40878379344940186,0.44594594836235046
ru,11,0.4574324369430542,0.029652851287134463,0.4864864945411682,0.4695945978164673,0.4864864945411682,0.42905405163764954,0.41554054617881775
ru,12,0.4554054081439972,0.024305553870949476,0.4797297418117523,0.4864864945411682,0.45270270109176636,0.42905405163764954,0.42905405163764954
ru,13,0.46554055213928225,0.018918917434557366,0.4729729890823364,0.4729729890823364,0.4932432472705841,0.4425675868988037,0.44594594836235046
ru,14,0.4331081211566925,0.027809613908152973,0.4425675868988037,0.4358108341693878,0.4763513505458832,0.3918918967247009,0.4189189374446869
ru,15,0.42364866137504575,0.019301158095443628,0.4493243396282196,0.42905405163764954,0.4358108341693878,0.40878379344940186,0.39527028799057007
ru,16,0.39662163257598876,0.021536998116417464,0.412162184715271,0.4256756901741028,0.3817567527294159,0.36486488580703735,0.3986486494541168
ru,17,0.3635135114192963,0.016495347069731926,0.375,0.3817567527294159,0.3682432472705841,0.3581081032752991,0.33445945382118225
ru,18,0.325000011920929,0.02402215170009242,0.3310810923576355,0.32094594836235046,0.36486488580703735,0.3175675868988037,0.29054054617881775
ru,19,0.32432433366775515,0.016959318315691897,0.3175675868988037,0.3378378450870514,0.33445945382118225,0.3378378450870514,0.2939189374446869
ru,20,0.3344594657421112,0.03626056239765545,0.32094594836235046,0.32094594836235046,0.40202704071998596,0.2939189374446869,0.33445945382118225
ru,21,0.34797298312187197,0.024641326946530474,0.3682432472705841,0.3445945978164673,0.37837839126586914,0.3074324429035187,0.34121623635292053
ru,22,0.37972974181175234,0.041299211691395124,0.3918918967247009,0.34121623635292053,0.4425675868988037,0.32770270109176636,0.39527028799057007
ru,23,0.3885135293006897,0.04208759892667985,0.4358108341693878,0.38513514399528503,0.36486488580703735,0.3243243396282196,0.4324324429035187
ru,24,0.333108115196228,0.02195685737047725,0.3614864945411682,0.3581081032752991,0.3175675868988037,0.31081080436706543,0.3175675868988037
ru,25,0.33648648858070374,0.03667369818257838,0.3817567527294159,0.36486488580703735,0.2804054021835327,0.31081080436706543,0.3445945978164673
ru,26,0.35472973585128786,0.030367847123134974,0.38513514399528503,0.38513514399528503,0.34121623635292053,0.30405405163764954,0.3581081032752991
ru,27,0.360135143995285,0.03071166686877774,0.3817567527294159,0.3445945978164673,0.34121623635292053,0.3243243396282196,0.40878379344940186
