model,lang,best_layer,true_acc,null_mean,null_std,p_value,significant
qwen3,en,9,0.6141892194747924,0.17043919309973718,0.020651676789599137,0.0,True
qwen3,ru,11,0.5925675749778747,0.16682432770729064,0.021609899947772487,0.0,True
qwen3,ky,27,0.4777027070522308,0.16729730114340782,0.021502417549931954,0.0,True
