lang,gemma_layer,qwen_layer,gemma_acc,qwen_acc,t_stat,p_value,significant,winner
en,0,9,0.5925675868988037,0.6141892194747924,1.5229468289704198,0.20243763043966206,False,qwen3
ru,6,11,0.5033783912658691,0.5925675749778747,17.184949291309152,6.726938430451173e-05,True,qwen3
ky,4,27,0.4594594717025757,0.4777027070522308,1.8565570172037327,0.1369453177915904,False,qwen3
