lang,layer,acc_mean,acc_std,fold_0,fold_1,fold_2,fold_3,fold_4
en,0,0.5135135233402253,0.0315476210354434,0.5439189076423645,0.4763513505458832,0.5,0.48986488580703735,0.5574324727058411
en,1,0.5743243455886841,0.01682418340550194,0.5878378748893738,0.5574324727058411,0.5912162065505981,0.5506756901741028,0.5844594836235046
en,2,0.562162184715271,0.018578020178790098,0.5709459781646729,0.5304054021835327,0.5709459781646729,0.5540540814399719,0.5844594836235046
en,3,0.5797297477722168,0.026046404668322917,0.5540540814399719,0.5743243098258972,0.6148648858070374,0.5506756901741028,0.6047297716140747
en,4,0.5925675868988037,0.01965274344014114,0.5844594836235046,0.6081081032752991,0.6047297716140747,0.5574324727058411,0.6081081032752991
en,5,0.5986486673355103,0.009884284034014604,0.6148648858070374,0.5945945978164673,0.6013513803482056,0.5979729890823364,0.5844594836235046
en,6,0.5912162303924561,0.010247140556650387,0.5945945978164673,0.6047297716140747,0.5810810923576355,0.5777027010917664,0.5979729890823364
en,7,0.5736486554145813,0.023445070491641174,0.5945945978164673,0.5608108043670654,0.5844594836235046,0.5337837934494019,0.5945945978164673
en,8,0.5986486673355103,0.020315279435300877,0.6013513803482056,0.5945945978164673,0.5878378748893738,0.5743243098258972,0.6351351737976074
en,9,0.6141892194747924,0.018054580190278304,0.6047297716140747,0.6182432770729065,0.6351351737976074,0.5844594836235046,0.6283783912658691
en,10,0.6081081390380859,0.033238852735024006,0.6520270705223083,0.6047297716140747,0.6317567825317383,0.5540540814399719,0.5979729890823364
en,11,0.5885135173797608,0.026806524991229756,0.6081081032752991,0.6114864945411682,0.5945945978164673,0.537162184715271,0.5912162065505981
en,12,0.5824324488639832,0.013614474477673026,0.5844594836235046,0.5945945978164673,0.5810810923576355,0.5574324727058411,0.5945945978164673
en,13,0.5763513803482055,0.02287339969538474,0.5844594836235046,0.5878378748893738,0.5675675868988037,0.537162184715271,0.6047297716140747
en,14,0.566216230392456,0.025063837793039393,0.5810810923576355,0.5844594836235046,0.5709459781646729,0.5168918967247009,0.5777027010917664
en,15,0.5682432532310486,0.01927749503784515,0.5810810923576355,0.5979729890823364,0.5540540814399719,0.5439189076423645,0.5641891956329346
en,16,0.566216230392456,0.020337729912745458,0.5844594836235046,0.5878378748893738,0.537162184715271,0.5472972989082336,0.5743243098258972
en,17,0.5527027249336243,0.026738319452618932,0.5878378748893738,0.5608108043670654,0.537162184715271,0.5101351737976074,0.5675675868988037
en,18,0.5479729890823364,0.032078595630107155,0.5844594836235046,0.5844594836235046,0.5270270109176636,0.5033783912658691,0.5405405759811401
en,19,0.5506756782531739,0.02625589590593984,0.5777027010917664,0.5810810923576355,0.5506756901741028,0.5135135054588318,0.5304054021835327
en,20,0.5371621727943421,0.02321020783768149,0.5472972989082336,0.5743243098258972,0.537162184715271,0.5067567825317383,0.5202702879905701
en,21,0.5520270228385925,0.026823564366797954,0.5810810923576355,0.5641891956329346,0.5743243098258972,0.5135135054588318,0.5270270109176636
en,22,0.5581081330776214,0.03414670850686827,0.5878378748893738,0.5709459781646729,0.5472972989082336,0.49662163853645325,0.5878378748893738
en,23,0.5736486554145813,0.01618804162126057,0.5912162065505981,0.5810810923576355,0.5810810923576355,0.5439189076423645,0.5709459781646729
en,24,0.5695946097373963,0.014585832519485439,0.5777027010917664,0.5878378748893738,0.5777027010917664,0.5506756901741028,0.5540540814399719
en,25,0.5810810923576355,0.015555219408084657,0.6013513803482056,0.5945945978164673,0.5743243098258972,0.5574324727058411,0.5777027010917664
en,26,0.5885135293006897,0.025675678566889182,0.6081081032752991,0.6148648858070374,0.5540540814399719,0.5608108043670654,0.6047297716140747
en,27,0.5722972989082337,0.013445768162815966,0.5945945978164673,0.5743243098258972,0.5641891956329346,0.5540540814399719,0.5743243098258972
en,28,0.5635135293006897,0.011184422713864937,0.5709459781646729,0.5777027010917664,0.5675675868988037,0.5472972989082336,0.5540540814399719
en,29,0.5567567706108093,0.02373537237350378,0.5641891956329346,0.5878378748893738,0.5472972989082336,0.5168918967247009,0.5675675868988037
en,30,0.5587837934494019,0.01941904999447115,0.5777027010917664,0.5743243098258972,0.5540540814399719,0.5236486792564392,0.5641891956329346
en,31,0.5418919086456299,0.03093385471198769,0.5709459781646729,0.5709459781646729,0.537162184715271,0.4864864945411682,0.5439189076423645
en,32,0.5479729890823364,0.025136590800550203,0.5540540814399719,0.5743243098258972,0.5574324727058411,0.5,0.5540540814399719
en,33,0.5385135412216187,0.025870533488597098,0.5574324727058411,0.5540540814399719,0.5574324727058411,0.48986488580703735,0.5337837934494019
en,34,0.5439189434051513,0.014491625697195476,0.5405405759811401,0.5608108043670654,0.5574324727058411,0.5202702879905701,0.5405405759811401
en,35,0.5378378391265869,0.008108111222589911,0.5304054021835327,0.5506756901741028,0.5439189076423645,0.5337837934494019,0.5304054021835327
en,36,0.5337837934494019,0.015555229764318192,0.5405405759811401,0.5506756901741028,0.5168918967247009,0.5135135054588318,0.5472972989082336
ru,0,0.4074324369430542,0.034887377562124525,0.4189189374446869,0.45270270109176636,0.3817567527294159,0.3547297418117523,0.42905405163764954
ru,1,0.44932433366775515,0.037741188153868704,0.46621623635292053,0.4864864945411682,0.44594594836235046,0.37837839126586914,0.4695945978164673
ru,2,0.4709459602832794,0.027743879408339712,0.48310813307762146,0.5067567825317383,0.46621623635292053,0.42229729890823364,0.4763513505458832
ru,3,0.48648650050163267,0.021043805922381333,0.4729729890823364,0.4797297418117523,0.4932432472705841,0.4628378450870514,0.5236486792564392
ru,4,0.4972973167896271,0.01754156916222689,0.5101351737976074,0.5067567825317383,0.5,0.4628378450870514,0.5067567825317383
ru,5,0.5162162363529206,0.027479333525528695,0.5405405759811401,0.4763513505458832,0.5405405759811401,0.48986488580703735,0.5337837934494019
ru,6,0.5439189314842224,0.024548521439286743,0.5709459781646729,0.5304054021835327,0.5641891956329346,0.5033783912658691,0.5506756901741028
ru,7,0.5371621608734131,0.028103556785902647,0.5608108043670654,0.5304054021835327,0.5641891956329346,0.4864864945411682,0.5439189076423645
ru,8,0.5574324250221252,0.023503417311039818,0.5777027010917664,0.5472972989082336,0.5912162065505981,0.5439189076423645,0.5270270109176636
ru,9,0.5675675868988037,0.02906191522907895,0.6148648858070374,0.5506756901741028,0.5878378748893738,0.5405405759811401,0.5439189076423645
ru,10,0.5722972989082337,0.02741278221322888,0.6114864945411682,0.5472972989082336,0.5912162065505981,0.537162184715271,0.5743243098258972
ru,11,0.5925675749778747,0.03375674776877939,0.6452702879905701,0.5945945978164673,0.6081081032752991,0.5472972989082336,0.5675675868988037
ru,12,0.5743243336677551,0.01946602098973157,0.6081081032752991,0.5810810923576355,0.5675675868988037,0.5506756901741028,0.5641891956329346
ru,13,0.575000011920929,0.03135892619106577,0.6114864945411682,0.5878378748893738,0.5777027010917664,0.5168918967247009,0.5810810923576355
ru,14,0.5905405521392822,0.03164875158810479,0.6148648858070374,0.625,0.5912162065505981,0.5337837934494019,0.5878378748893738
ru,15,0.5702702879905701,0.02285343432170136,0.6047297716140747,0.5709459781646729,0.5777027010917664,0.5337837934494019,0.5641891956329346
ru,16,0.5743243336677551,0.02898324583621115,0.6081081032752991,0.5912162065505981,0.5641891956329346,0.5236486792564392,0.5844594836235046
ru,17,0.5635135173797607,0.022246043389093317,0.5777027010917664,0.5641891956329346,0.5777027010917664,0.5202702879905701,0.5777027010917664
ru,18,0.5527027189731598,0.03849573178207074,0.5844594836235046,0.5540540814399719,0.5844594836235046,0.4797297418117523,0.5608108043670654
ru,19,0.5567567706108093,0.030992826223389714,0.5709459781646729,0.5608108043670654,0.5979729890823364,0.5033783912658691,0.5506756901741028
ru,20,0.5466216266155243,0.038066393967965864,0.5844594836235046,0.5641891956329346,0.5743243098258972,0.4797297418117523,0.5304054021835327
ru,21,0.5601351618766784,0.02363898825604615,0.5979729890823364,0.5574324727058411,0.5641891956329346,0.5236486792564392,0.5574324727058411
ru,22,0.558108115196228,0.024770670845951696,0.5506756901741028,0.5810810923576355,0.5912162065505981,0.5236486792564392,0.5439189076423645
ru,23,0.5479729890823364,0.025764423346403408,0.5777027010917664,0.5506756901741028,0.5675675868988037,0.5033783912658691,0.5405405759811401
ru,24,0.562162184715271,0.020112011731919007,0.5675675868988037,0.5709459781646729,0.5878378748893738,0.5270270109176636,0.5574324727058411
ru,25,0.558108115196228,0.028217063196363617,0.5641891956329346,0.5641891956329346,0.6047297716140747,0.5270270109176636,0.5304054021835327
ru,26,0.5662162184715271,0.019063161000221804,0.5777027010917664,0.5743243098258972,0.5844594836235046,0.5304054021835327,0.5641891956329346
ru,27,0.5682432532310486,0.02042732885183716,0.5979729890823364,0.5810810923576355,0.5709459781646729,0.5472972989082336,0.5439189076423645
ru,28,0.562162172794342,0.023072124862971683,0.5979729890823364,0.5472972989082336,0.5810810923576355,0.5405405759811401,0.5439189076423645
ru,29,0.550000011920929,0.029714377130273705,0.5777027010917664,0.5506756901741028,0.5878378748893738,0.5202702879905701,0.5135135054588318
ru,30,0.5472973108291626,0.02049424967158514,0.5506756901741028,0.5675675868988037,0.5641891956329346,0.5101351737976074,0.5439189076423645
ru,31,0.5486486673355102,0.022060561013524733,0.5608108043670654,0.5405405759811401,0.5574324727058411,0.5101351737976074,0.5743243098258972
ru,32,0.5216216385364533,0.02949848249313277,0.5540540814399719,0.48986488580703735,0.5472972989082336,0.48310813307762146,0.5337837934494019
ru,33,0.5229729831218719,0.027228978092918896,0.5439189076423645,0.49662163853645325,0.5304054021835327,0.4864864945411682,0.5574324727058411
ru,34,0.5236486613750457,0.02178989130104921,0.5304054021835327,0.5033783912658691,0.5304054021835327,0.49662163853645325,0.5574324727058411
